expo,table,project,sponsors,link,category,special
B,L7,P2P Microfinance,"Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92531-p2p-microfinance,Venture Trail,
B,L9,One Percent Closer,"Best Philanthropic Hack - Bloomberg, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92548-one-percent-closer,Hacker Trail,
B,M7,Potato...The Game,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92315-potato-the-game,Scout Trail,
B,Q1,UNICOMP,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92391-unicomp,Scout Trail,
B,Q11,Letter of Credit using BlockChain,"Decentralise Everything: Blockchain challenge - Ark, Best Financial Hack - Capital One",http://bitcamp2018.devpost.com/submissions/92489-letter-of-credit-using-blockchain,Scout Trail,
B,Q13,how_to_survive_a_hackathon,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92495-how_to_survive_a_hackathon,Scout Trail,
B,Q3,"Bono - Invest Safe, Invest Smart","Best Financial Hack - Capital One, Best Designed Investor Education Product - Finra",http://bitcamp2018.devpost.com/submissions/92413-bono-invest-safe-invest-smart,Scout Trail,
B,Q5,SeniorBot,"Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92440-seniorbot,Scout Trail,
B,Q7,Augmented Reality Scavenger Hunt,,http://bitcamp2018.devpost.com/submissions/92463-augmented-reality-scavenger-hunt,Scout Trail,
B,Q9,FindMe,"Best Use of MongoDB Stitch - MongoDB, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92478-findme,Scout Trail,
B,R2,BitByBit,Best Hack (be passionate) - Facebook,http://bitcamp2018.devpost.com/submissions/92509-bitbybit,Scout Trail,
B,R5,HomefromHome: Housing Market GIS,"Best Hack with Esri APIs and SDKs - Esri, Housing insights â€œin-betweenâ€ù Datasets - Fannie Mae, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92515-homefromhome-housing-market-gis,Scout Trail,
B,R7,Twitter to Physical Arduino Interface,,http://bitcamp2018.devpost.com/submissions/92533-twitter-to-physical-arduino-interface,Scout Trail,
B,S1,Mapifier,"Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92421-mapifier,Venture Trail,
B,S3,NextUp,"Best use of SparkPost API - SparkPost, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Designed Investor Education Product - Finra, Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92518-nextup,Venture Trail,
B,S6,Career-Connectzy,"Best IoT Hack Using a Qualcomm Device, Best Use of MongoDB Stitch - MongoDB, Best use of SparkPost API - SparkPost, Best Domain Name from Domain.com, Best Designed Investor Education Product - Finra, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92525-career-connectzy,Venture Trail,
B,T2,Close Call,"Amazon Web Services - Best Use of AWS, Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri, Improving Healthcare with Mobile Technologies - Credible Behavioral Health",http://bitcamp2018.devpost.com/submissions/92289-close-call,Hacker Trail,
B,T4,PharmerC,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92294-pharmerc,Hacker Trail,
B,T6,AirDJ,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92372-airdj,Hacker Trail,
